1-hup不存在
3-hop:[AA.AuId, 2120836466]-[Id, 2165698076]-[AuId, 2109031554]-[Id, 2126125555]
3-hop:[AA.AuId, 2120836466]-[Id, 2165698076]-[FId, 150899416]-[Id, 2126125555]
3-hop:[AA.AuId, 2120836466]-[Id, 2165698076]-[FId, 83665646]-[Id, 2126125555]
3-hop:[AA.AuId, 2120836466]-[Id, 2165698076]-[FId, 41008148]-[Id, 2126125555]
3-hop:[AA.AuId, 2120836466]-[Id, 2115403315]-[AuId, 2109031554]-[Id, 2126125555]
3-hop:[AA.AuId, 2120836466]-[Id, 2115403315]-[FId, 41008148]-[Id, 2126125555]
3-hop:[AA.AuId, 2120836466]-[Id, 2153353890]-[AuId, 2109031554]-[Id, 2126125555]
3-hop:[AA.AuId, 2120836466]-[Id, 2153353890]-[FId, 150899416]-[Id, 2126125555]
3-hop:[AA.AuId, 2120836466]-[Id, 2153353890]-[FId, 41008148]-[Id, 2126125555]
3-hop:[AA.AuId, 2120836466]-[Id, 2107298017]-[AuId, 2109031554]-[Id, 2126125555]
3-hop:[AA.AuId, 2120836466]-[Id, 2107298017]-[FId, 150899416]-[Id, 2126125555]
3-hop:[AA.AuId, 2120836466]-[Id, 2107298017]-[FId, 83665646]-[Id, 2126125555]
3-hop:[AA.AuId, 2120836466]-[Id, 2107298017]-[FId, 41008148]-[Id, 2126125555]
3-hop:[AA.AuId, 2120836466]-[Id, 1997399503]-[AuId, 2109031554]-[Id, 2126125555]
3-hop:[AA.AuId, 2120836466]-[Id, 1997399503]-[AuId, 2084826970]-[Id, 2126125555]
3-hop:[AA.AuId, 2120836466]-[Id, 1997399503]-[FId, 41008148]-[Id, 2126125555]
3-hop:[AA.AuId, 2120836466]-[Id, 2113971713]-[AuId, 2109031554]-[Id, 2126125555]
3-hop:[AA.AuId, 2120836466]-[Id, 2113971713]-[FId, 41008148]-[Id, 2126125555]
3-hop:[AA.AuId, 2120836466]-[Id, 225523]-[AuId, 2109031554]-[Id, 2126125555]
3-hop:[AA.AuId, 2120836466]-[Id, 225523]-[FId, 121687571]-[Id, 2126125555]
3-hop:[AA.AuId, 2120836466]-[Id, 225523]-[FId, 41008148]-[Id, 2126125555]
3-hop:[AA.AuId, 2120836466]-[Id, 2040900804]-[FId, 150899416]-[Id, 2126125555]
3-hop:[AA.AuId, 2120836466]-[Id, 2040900804]-[FId, 41008148]-[Id, 2126125555]
3-hop:[AA.AuId, 2120836466]-[Id, 2280985394]-[AuId, 2109031554]-[Id, 2126125555]
3-hop:[AA.AuId, 2120836466]-[Id, 1603035390]-[AuId, 2109031554]-[Id, 2126125555]
3-hop:[AA.AuId, 2120836466]-[Id, 1603035390]-[FId, 150899416]-[Id, 2126125555]
3-hop:[AA.AuId, 2120836466]-[Id, 1603035390]-[FId, 41008148]-[Id, 2126125555]
3-hop:[AA.AuId, 2120836466]-[Id, 2152878561]-[AuId, 2084826970]-[Id, 2126125555]
3-hop:[AA.AuId, 2120836466]-[Id, 2152878561]-[AuId, 2109031554]-[Id, 2126125555]
3-hop:[AA.AuId, 2120836466]-[Id, 2152878561]-[FId, 83665646]-[Id, 2126125555]
3-hop:[AA.AuId, 2120836466]-[Id, 2152878561]-[FId, 41008148]-[Id, 2126125555]
3-hop:[AA.AuId, 2120836466]-[Id, 304676660]-[AuId, 2109031554]-[Id, 2126125555]
3-hop:[AA.AuId, 2120836466]-[Id, 304676660]-[FId, 41008148]-[Id, 2126125555]
3-hop:[AA.AuId, 2120836466]-[Id, 2016066610]-[AuId, 2144952901]-[Id, 2126125555]
3-hop:[AA.AuId, 2120836466]-[Id, 2016066610]-[AuId, 2084826970]-[Id, 2126125555]
3-hop:[AA.AuId, 2120836466]-[Id, 2016066610]-[AuId, 2109031554]-[Id, 2126125555]
3-hop:[AA.AuId, 2120836466]-[Id, 2016066610]-[FId, 121687571]-[Id, 2126125555]
3-hop:[AA.AuId, 2120836466]-[Id, 2016066610]-[FId, 41008148]-[Id, 2126125555]
3-hop:[AA.AuId, 2120836466]-[Id, 2148966043]-[AuId, 2109031554]-[Id, 2126125555]
3-hop:[AA.AuId, 2120836466]-[Id, 1971508473]-[AuId, 2109031554]-[Id, 2126125555]
3-hop:[AA.AuId, 2120836466]-[Id, 1971508473]-[FId, 41008148]-[Id, 2126125555]
3-hop:[AA.AuId, 2120836466]-[Id, 2100664256]-[FId, 41008148]-[Id, 2126125555]
3-hop:[AA.AuId, 2120836466]-[Id, 2135012301]-[FId, 150899416]-[Id, 2126125555]
3-hop:[AA.AuId, 2120836466]-[Id, 2135012301]-[FId, 136389625]-[Id, 2126125555]
3-hop:[AA.AuId, 2120836466]-[Id, 2135012301]-[FId, 41008148]-[Id, 2126125555]
3-hop:[AA.AuId, 2120836466]-[Id, 2095998729]-[AuId, 2109031554]-[Id, 2126125555]
3-hop:[AA.AuId, 2120836466]-[Id, 2095998729]-[FId, 41008148]-[Id, 2126125555]
3-hop:[AA.AuId, 2120836466]-[Id, 2096013205]-[AuId, 2109031554]-[Id, 2126125555]
3-hop:[AA.AuId, 2120836466]-[Id, 2096013205]-[FId, 41008148]-[Id, 2126125555]
3-hop:[AA.AuId, 2120836466]-[Id, 2092901506]-[AuId, 2109031554]-[Id, 2126125555]
3-hop:[AA.AuId, 2120836466]-[Id, 651098131]-[AuId, 2084826970]-[Id, 2126125555]
3-hop:[AA.AuId, 2120836466]-[Id, 651098131]-[AuId, 2109031554]-[Id, 2126125555]
3-hop:[AA.AuId, 2120836466]-[Id, 651098131]-[AuId, 2144952901]-[Id, 2126125555]
3-hop:[AA.AuId, 2120836466]-[Id, 62454899]-[AuId, 2109031554]-[Id, 2126125555]
3-hop:[AA.AuId, 2120836466]-[Id, 62454899]-[FId, 41008148]-[Id, 2126125555]
3-hop:[AA.AuId, 2120836466]-[Id, 2025983608]-[FId, 41008148]-[Id, 2126125555]
3-hop:[AA.AuId, 2120836466]-[Id, 2062518264]-[FId, 41008148]-[Id, 2126125555]
3-hop:[AA.AuId, 2120836466]-[Id, 2293936396]-[AuId, 2109031554]-[Id, 2126125555]
3-hop:[AA.AuId, 2120836466]-[Id, 1999855152]-[AuId, 2084826970]-[Id, 2126125555]
3-hop:[AA.AuId, 2120836466]-[Id, 1999855152]-[AuId, 2109031554]-[Id, 2126125555]
3-hop:[AA.AuId, 2120836466]-[Id, 1999855152]-[FId, 41008148]-[Id, 2126125555]
3-hop:[AA.AuId, 2120836466]-[Id, 2060680671]-[FId, 41008148]-[Id, 2126125555]
